Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-12-04,UAL,973,BRU,ORD,Main,B40,5,M18,false,,2024-12-04T10:10,2024-12-04T10:18,,,,,2024-12-04T12:15,2024-12-04T12:30,Boeing 787-10,,,,,,,,5f27d2ba-14a2-4103-a924-77bf5dbd34a3,b57b4c86-4724-48f1-80be-d7de4036004a,cedbcaaa-96c5-48e3-88f1-6f27c2fb09df,a5eff314-18e7-4c87-bd38-0131882f1b8d,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2024-12-04,UAL,793,ORD,DFW,1,C2,E,E8,false,,2024-12-04T15:55,2024-12-04T16:10,,,,,2024-12-04T18:39,2024-12-04T18:41,Boeing 737-700,,,,,,,,ec6989c2-1987-44d2-a8a0-883084675adc,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,1573100e-e4a3-47b0-9399-01b36074e1f5,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2024-12-04,UAL,511,ORD,PHX,1,B4,3,E5,false,,2024-12-04T16:00,2024-12-04T16:02,,,,,2024-12-04T18:58,2024-12-04T18:27,Boeing 737-900ER,,,,,,,,5d9e299a-3e74-4ac2-bc18-cf03bbb5c9b6,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,a2f06eec-440b-48dd-9096-f9051e8a07ef,,24012541-435d-4a27-af8a-4791336f1965
2024-12-05,SWA,3533,PHX,ABQ,4,C13,Main,A6,false,,2024-12-05T19:55,2024-12-05T19:53,,,,,2024-12-05T21:05,2024-12-05T20:58,Boeing 737 MAX 8,,4MTLJR,10D,AISLE,ECONOMY,,,b9caff15-ae70-4065-ad5b-9f1b2fd4ab95,be4c4286-2c02-4dca-86d4-56e19aa348f7,a2f06eec-440b-48dd-9096-f9051e8a07ef,7b925806-8601-400f-bd02-c38802c531b8,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-02-28,SWA,3438,ABQ,PHX,Main,A8,4,C19,false,,2025-02-28T19:55,2025-02-28T19:54,,,,,2025-02-28T21:20,2025-02-28T21:07,Boeing 737-700,,42AP9D,,,,,,9d3fe477-2674-4eef-8304-e244af9a9cb6,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,a2f06eec-440b-48dd-9096-f9051e8a07ef,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2025-03-01,SWA,4524,PHX,LAX,4,C19,1,17B,false,,2025-03-01T18:00,2025-03-01T18:01,,,,,2025-03-01T18:30,2025-03-01T18:22,Boeing 737-800,,42AL6J,,,,,,f11e8d0f-9fc2-42fa-8df1-0caf7461761f,be4c4286-2c02-4dca-86d4-56e19aa348f7,a2f06eec-440b-48dd-9096-f9051e8a07ef,25b8d712-9888-423f-868d-b25f1d184aaf,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-03-02,TZP,23,LAX,NRT,B,,1,16,false,,2025-03-02T09:35,2025-03-02T09:47,,,,,2025-03-03T14:25,,Boeing 787-8,,,57C,AISLE,ECONOMY,LEISURE,,66bc8bd7-7925-48cb-bac1-5664ababa5d3,697cf8ae-3de2-4af8-b68c-aaf79bb73202,25b8d712-9888-423f-868d-b25f1d184aaf,42cbe764-fc30-49b0-9e72-eca5f6c21767,,4f948d40-962a-4fdf-b1d9-424282d24f76
2025-03-14,JJP,526,FUK,NRT,D,4,3,,false,,2025-03-14T09:15,2025-03-14T09:14,,,,,2025-03-14T10:55,2025-03-14T10:55,Airbus A320,,,,,,,,41b05e5a-6b6f-448b-8f67-16176ab52856,4e7ef0ad-8f9e-4e77-bc0b-50ac7a83b112,5520f4e4-bd55-48ca-9bc3-9e97990329ca,42cbe764-fc30-49b0-9e72-eca5f6c21767,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-03-14,TZP,24,NRT,LAX,1,21,B,,false,,2025-03-14T14:45,2025-03-14T14:47,,,,,2025-03-14T08:35,,Boeing 787-8,,,,,,,,03864dd0-aaef-49a7-bcff-c38e8f8276e1,697cf8ae-3de2-4af8-b68c-aaf79bb73202,42cbe764-fc30-49b0-9e72-eca5f6c21767,25b8d712-9888-423f-868d-b25f1d184aaf,,4f948d40-962a-4fdf-b1d9-424282d24f76
2025-03-14,SWA,2764,LAX,ABQ,1,12B,Main,A10,false,,2025-03-14T11:50,2025-03-14T11:56,,,,,2025-03-14T14:45,2025-03-14T14:40,Boeing 737-800,,,,,,,,c6dc2d60-c261-4bb3-bc52-7f3740000c85,be4c4286-2c02-4dca-86d4-56e19aa348f7,25b8d712-9888-423f-868d-b25f1d184aaf,7b925806-8601-400f-bd02-c38802c531b8,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
